RPM-GPG-KEY-CentOS,CentOS-Debuginfo.repo,CentOS-Media.repo,CentOS-fasttrack.repo,centos-x86_64,centos-noarch,centos-release,/etc/mke2fs.conf,/etc/yum.repos.d,/etc/yum,/etc/pki/rpm-gpg,usr/share/terminfo,charmaps,/usr/lib/rpm/,/var/lib/rpm/,/var/lib/yum/yumdb,centos-release,dpkg/origins/ubuntu,/etc/depmod.d/ubuntu.conf,ubuntu-archive-keyring,ubuntu-archive,ubuntu-keyring,archive.ubuntu.com,/etc/debian_version,/etc/bash.bashrc,/etc/rc1.d,/etc/init/hostname.conf,chown,udevadm,udevadm,apt-cache,udevadm,udevadm,/usr/share/X11,/usr/share/common-licenses,Dpkg,Debconf,dpkg-divert,libgthread,x86_64-linux-gnu,/usr/lib/apt/,pam_unix,debconf,apt-utils,ntpdate,tasksel,Package+apt,OS_type
1,1,1,1,48,32,18,1,8,12,3,2558,220,54,23,921,18,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1071,centos
1,1,1,1,48,32,18,1,8,12,3,2558,220,54,23,921,18,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1071,centos
4,1,1,1,9,18,13,0,6,14,5,133,228,43,22,1231,13,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,1,0,0,0,0,2,0,0,5,0,0,0,0,1399,centos
4,1,1,1,0,0,4,0,6,14,5,133,228,43,22,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,159,centos
4,1,1,1,0,9,13,0,6,15,5,133,228,43,22,1214,13,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1408,centos
4,1,1,1,18,9,13,0,6,15,5,133,228,43,22,1214,13,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1408,centos
4,1,1,1,18,9,13,0,6,15,5,133,228,43,22,1196,13,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1390,centos
3,1,0,0,0,26,16,0,5,15,4,141,233,120,22,1229,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1413,centos
3,1,0,1,0,26,15,0,7,18,4,141,233,122,22,1229,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1416,centos
3,1,1,1,22,11,19,0,8,21,4,141,233,124,18,1542,19,0,0,0,0,0,0,0,0,1,0,1,5,5,0,5,5,1,0,0,0,0,2,0,0,5,0,0,0,0,1684,centos
3,1,1,1,33,22,19,0,8,20,4,141,233,124,18,1598,19,0,0,0,0,0,0,0,0,1,0,1,5,5,0,5,5,1,0,0,0,0,2,0,0,5,0,0,0,0,1760,centos
3,1,1,1,11,22,19,0,8,20,4,141,233,124,18,1631,19,0,0,0,0,0,0,0,0,1,0,1,5,5,0,5,5,1,0,0,0,0,2,0,0,5,0,0,0,0,1792,centos
3,1,1,1,11,11,19,0,8,20,4,141,233,124,18,1609,19,0,0,0,0,0,0,0,0,1,0,1,5,5,0,5,5,1,0,0,0,0,2,0,0,5,0,0,0,0,1771,centos
0,0,0,0,0,0,0,1,0,0,0,52,228,0,0,0,0,1,1,2,4,4,12,1,1,4,1,2,1,1,1,1,1,345,14,3,112,2,2,4,15,1,79,6,12,36,320,ubuntu
0,0,0,0,0,0,0,1,0,0,0,1,233,0,0,0,0,1,1,2,4,4,0,1,1,4,1,1,1,1,1,1,1,0,15,0,128,2,2,475,16,1,30,0,0,0,165,ubuntu
0,0,0,0,0,0,0,1,0,0,0,1,233,0,0,0,0,1,1,2,4,4,0,1,1,4,1,1,1,1,1,1,1,0,15,0,128,2,2,475,16,1,30,0,0,0,165,ubuntu
